Official Election Results
LEHIGH
Contest Name,Candidate Name,Party,Mail Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast,Under Votes,Vote For
"REP Member of the County Committee North Whitehall 5th D","LINDA J SWANKOSKI","REP","62","147","0","209","1","1","422","0","2"
"REP Member of the County Committee Salisbury 3rd Ward 1s","LEORA GAITHER","REP","17","38","0","55","1","1","228","0","2"
"REP Member of the County Committee Salisbury 3rd Ward 1s","JOSEPH GAITHER","REP","24","45","0","69","1","1","228","0","2"
"REP Member of the County Committee Salisbury 4th Ward 1s","CAROL M RIEDER","REP","23","72","0","95","1","1","304","0","2"
"REP Member of the County Committee Salisbury 4th Ward 1s","RICHARD CARROLL","REP","24","64","0","88","1","1","304","0","2"
"REP Member of the County Committee Salisbury 5th Ward 2n","DENNIS ENGLE","REP","36","80","0","116","1","1","350","0","2"
"REP Member of the County Committee South Whitehall 1st D","BETH FINCH","REP","53","111","1","165","1","1","550","0","2"
"REP Member of the County Committee South Whitehall 1st D","GEORGE RIVERA","REP","40","113","2","155","1","1","550","0","2"
"REP Member of the County Committee South Whitehall 5th D","MATT MULQUEEN","REP","87","105","1","193","1","1","728","0","2"
"REP Member of the County Committee South Whitehall 6th D","JEFF KELLY","REP","29","93","1","123","1","1","609","0","2"
"REP Member of the County Committee South Whitehall 6th D","JACOB ROTH","REP","26","95","1","122","1","1","609","0","2"
"REP Member of the County Committee South Whitehall 7th D","JIM VINUP","REP","16","51","0","67","1","1","292","0","2"
"REP Member of the County Committee South Whitehall 7th D","MARIE E VINUP","REP","17","44","0","61","1","1","292","0","2"
"REP Member of the County Committee South Whitehall 8th D","HELEN PAPATHANASIOU","REP","92","130","2","224","1","1","746","0","2"
"REP Member of the County Committee Upper Macungie 3rd Di","BERNADETTE COMFORT","REP","43","104","0","147","1","1","493","0","2"
"REP Member of the County Committee Upper Macungie 4th Di","MARGARET R LEISTER","REP","18","60","0","78","1","1","356","0","2"
"REP Member of the County Committee Upper Macungie 4th Di","GREG WHEELER","REP","14","75","0","89","1","1","356","0","2"
"REP Member of the County Committee Upper Macungie 4th Di","CHAMINIE WHEELER","REP","3","39","0","42","1","1","356","0","2"
"REP Member of the County Committee Upper Macungie 8th Di","DUSTIN GROW","REP","34","59","0","93","1","1","298","0","2"
"REP Member of the County Committee Upper Milford East","WAYNE KING","REP","128","185","0","313","1","1","1031","0","2"
"REP Member of the County Committee Upper Milford East","BARBARA TANTAROS","REP","124","177","0","301","1","1","1031","0","2"
"REP Member of the County Committee Upper Milford West","SUSAN J KARPER","REP","99","197","1","297","1","1","727","0","2"
"REP Member of the County Committee Upper Milford West","ALICIA DUPLOOY","REP","78","169","1","248","1","1","727","0","2"
"REP Member of the County Committee Upper Saucon 2nd Dist","MARIA AULT","REP","31","89","0","120","1","1","440","0","2"
"REP Member of the County Committee Upper Saucon 2nd Dist","PAULETTE BARTOLACCI","REP","29","87","0","116","1","1","440","0","2"
"REP Member of the County Committee Upper Saucon 5th Dist","ANDRES WELLER","REP","44","75","0","119","1","1","401","0","2"
"REP Member of the County Committee Upper Saucon 5th Dist","EMMA WELLER","REP","42","76","0","118","1","1","401","0","2"
"REP Member of the County Committee Washington South","LAUREN GANSER","REP","83","238","0","321","1","1","662","0","2"
"REP Member of the County Committee Weisenberg","MICHELLE J WEAVER","REP","107","359","0","466","1","1","969","0","2"
"REP Member of the County Committee Whitehall 1st Distric","JOHN SEDOVY","REP","31","48","0","79","1","1","325","0","2"
"REP Member of the County Committee Whitehall 1st Distric","CHARLOTTE SCHALL","REP","26","40","0","66","1","1","325","0","2"
"REP Member of the County Committee Whitehall 3rd Distric","ERICA SHULL","REP","10","21","0","31","1","1","181","0","2"
"REP Member of the County Committee Whitehall 3rd Distric","RON CLEVER","REP","14","19","0","33","1","1","181","0","2"
"REP Member of the County Committee Whitehall 7th Distric","KRISTIE TERTEL","REP","74","134","0","208","1","1","630","0","2"
"REP Member of the County Committee Whitehall 8th Distric","ELIZABETH FOX","REP","19","90","0","109","1","1","430","0","2"
"REP Member of the County Committee Whitehall 8th Distric","ALETA M ZIMMERMAN","REP","15","62","0","77","1","1","430","0","2"
"REP Member of the County Committee Whitehall 9th Distric","ANTONIO PINEDA","REP","28","53","1","82","1","1","320","0","2"
"REP Member of the County Committee Whitehall 11th Distri","ROBERT FALKENSTEIN","REP","18","89","0","107","1","1","357","0","2"
"Hanover Township Referendum Question","YES","NON","47","61","0","108","1","1","176","0","1"
"Hanover Township Referendum Question","NO","NON","19","33","1","53","1","1","176","0","1"
