county,precinct,office,party,candidate,votes
Greene,Morris Township Voting Precinct,Rep Member Of Republican County Committee Morris Twp (Vote for 2),Republican,Lisa M. Murdock,58
Greene,Morris Township Voting Precinct,Rep Member Of Republican County Committee Morris Twp (Vote for 2),Republican,Greg Hopkins,90
Greene,Perry Township Voting Precinct,Dem Governor,Democrat,Josh Shapiro,105
Greene,Perry Township Voting Precinct,Rep Governor,Republican,Stacy Garrity,131
Greene,Perry Township Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,95
Greene,Perry Township Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,68
Greene,Perry Township Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,61
Greene,Perry Township Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,89
Greene,Perry Township Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,128
Greene,Perry Township Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,84
Greene,Perry Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,70
Greene,Perry Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,81
Greene,Perry Township Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,88
Greene,Perry Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,57
Greene,Perry Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,98
Greene,Perry Township Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,95
Greene,Perry Township Voting Precinct,Dem Member Of County Democratic Committee Perry Twp (Vote for 2),Democrat,Sandy Osecky,82
Greene,Perry Township Voting Precinct,Dem Member Of County Democratic Committee Perry Twp (Vote for 2),Democrat,Edward Lee Petsonk,82
Greene,Perry Township Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,136
Greene,Perry Township Voting Precinct,Rep Member Of Republican County Committee Perry Township (Vote for 2),Republican,Kris Osecky,84
Greene,Perry Township Voting Precinct,Rep Member Of Republican County Committee Perry Township (Vote for 2),Republican,Tammy Brookover,49
Greene,Perry Township Voting Precinct,Rep Member Of Republican County Committee Perry Township (Vote for 2),Republican,Bridget M. Patton,110
Greene,Perry Township Voting Precinct,Rep Member Of Republican County Committee Perry Township (Vote for 2),Republican,Tom Brookover,42
Greene,Richhill Township Voting Precinct,Dem Governor,Democrat,Josh Shapiro,44
Greene,Richhill Township Voting Precinct,Rep Governor,Republican,Stacy Garrity,73
Greene,Richhill Township Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,42
Greene,Richhill Township Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,45
Greene,Richhill Township Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,28
Greene,Richhill Township Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,39
Greene,Richhill Township Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,81
Greene,Richhill Township Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,39
Greene,Richhill Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,50
Greene,Richhill Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,38
Greene,Richhill Township Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,37
Greene,Richhill Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,31
Greene,Richhill Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,59
Greene,Richhill Township Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,40
Greene,Richhill Township Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,81
Greene,Richhill Township Voting Precinct,Rep Member Of Republican County Committee Richhill Twp (Vote for 2),Republican,Lawrence Headley,74
Greene,Richhill Township Voting Precinct,Rep Member Of Republican County Committee Richhill Twp (Vote for 2),Republican,Loletta Scogin,54
Greene,Springhill Township Voting Precinct,Dem Governor,Democrat,Josh Shapiro,19
Greene,Springhill Township Voting Precinct,Rep Governor,Republican,Stacy Garrity,21
Greene,Springhill Township Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,15
Greene,Springhill Township Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,12
Greene,Springhill Township Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,10
Greene,Springhill Township Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,13
Greene,Springhill Township Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,25
Greene,Springhill Township Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,14
Greene,Springhill Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,17
Greene,Springhill Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,15
Greene,Springhill Township Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,14
Greene,Springhill Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,18
Greene,Springhill Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,16
Greene,Springhill Township Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,19
Greene,Springhill Township Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,24
Greene,Washington Township Voting Precinct,Dem Governor,Democrat,Josh Shapiro,76
Greene,Washington Township Voting Precinct,Rep Governor,Republican,Stacy Garrity,129
Greene,Washington Township Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,74
Greene,Washington Township Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,64
Greene,Washington Township Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,63
Greene,Washington Township Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,75
Greene,Washington Township Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,131
Greene,Washington Township Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,75
Greene,Washington Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,89
Greene,Washington Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,64
Greene,Washington Township Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,71
Greene,Washington Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,54
Greene,Washington Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,96
Greene,Washington Township Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,73
Greene,Washington Township Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,106
Greene,Washington Township Voting Precinct,Rep Member Of Republican County Committee Washington Twp (Vote for 2),Republican,Deborah A. Harris,39
Greene,Washington Township Voting Precinct,Rep Member Of Republican County Committee Washington Twp (Vote for 2),Republican,Robert (rick) Morris,68
Greene,Washington Township Voting Precinct,Rep Member Of Republican County Committee Washington Twp (Vote for 2),Republican,Thomas Ayres,77
Greene,Whiteley Township Voting Precinct,Dem Governor,Democrat,Josh Shapiro,39
Greene,Whiteley Township Voting Precinct,Rep Governor,Republican,Stacy Garrity,70
Greene,Whiteley Township Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,36
Greene,Whiteley Township Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,36
Greene,Whiteley Township Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,35
Greene,Whiteley Township Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,37
Greene,Whiteley Township Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,77
Greene,Whiteley Township Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,38
Greene,Whiteley Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,56
Greene,Whiteley Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,35
Greene,Whiteley Township Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,38
Greene,Whiteley Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,33
Greene,Whiteley Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,60
Greene,Whiteley Township Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,37
Greene,Whiteley Township Voting Precinct,Dem Member Of County Democratic Committee Whiteley Twp (Vote for 2),Democrat,Karl Hursey,34
Greene,Whiteley Township Voting Precinct,Dem Member Of County Democratic Committee Whiteley Twp (Vote for 2),Democrat,Melodee Hursey,39
Greene,Whiteley Township Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,68
Greene,Whiteley Township Voting Precinct,Rep Member Of Republican County Committee Whiteley Twp (Vote for 2),Republican,Judy L. Snyder,69
Greene,Whiteley Township Voting Precinct,Rep Member Of Republican County Committee Whiteley Twp (Vote for 2),Republican,Bryan K. Snyder,68
Greene,Cumberland Township Nemacolin Voting Precinct,Dem Governor,Democrat,Josh Shapiro,29
Greene,Cumberland Township Nemacolin Voting Precinct,Rep Governor,Republican,Stacy Garrity,47
Greene,Cumberland Township Nemacolin Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,28
Greene,Cumberland Township Nemacolin Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,26
Greene,Cumberland Township Nemacolin Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,21
Greene,Cumberland Township Nemacolin Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,28
Greene,Cumberland Township Nemacolin Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,49
Greene,Cumberland Township Nemacolin Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,31
Greene,Cumberland Township Nemacolin Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,38
Greene,Cumberland Township Nemacolin Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,13
Greene,Cumberland Township Nemacolin Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,31
Greene,Cumberland Township Nemacolin Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,24
Greene,Cumberland Township Nemacolin Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,27
Greene,Cumberland Township Nemacolin Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,35
Greene,Cumberland Township Nemacolin Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,44
Greene,Franklin Township East Voting Precinct,Dem Governor,Democrat,Josh Shapiro,216
Greene,Franklin Township East Voting Precinct,Rep Governor,Republican,Stacy Garrity,304
Greene,Franklin Township East Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,212
Greene,Franklin Township East Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,147
Greene,Franklin Township East Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,138
Greene,Franklin Township East Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,196
Greene,Franklin Township East Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,308
Greene,Franklin Township East Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,196
Greene,Franklin Township East Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,148
Greene,Franklin Township East Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,177
Greene,Franklin Township East Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,186
Greene,Franklin Township East Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,95
Greene,Franklin Township East Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,243
Greene,Franklin Township East Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,202
Greene,Franklin Township East Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,298
Greene,Franklin Township East Voting Precinct,Rep Member Of Republican County Committee Franklin East (Vote for 2),Republican,Eric John Rohanna,287
Greene,Franklin Township East Voting Precinct,Rep Member Of Republican County Committee Franklin East (Vote for 2),Republican,Jodi L. Rohanna,280
Greene,Franklin Township West Voting Precinct,Dem Governor,Democrat,Josh Shapiro,31
Greene,Franklin Township West Voting Precinct,Rep Governor,Republican,Stacy Garrity,77
Greene,Franklin Township West Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,30
Greene,Franklin Township West Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,44
Greene,Franklin Township West Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,25
Greene,Franklin Township West Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,28
Greene,Franklin Township West Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,80
Greene,Franklin Township West Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,30
Greene,Franklin Township West Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,33
Greene,Franklin Township West Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,54
Greene,Franklin Township West Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,29
Greene,Franklin Township West Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,35
Greene,Franklin Township West Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,53
Greene,Franklin Township West Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,30
Greene,Franklin Township West Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,74
Greene,Franklin Township North Voting Precinct,Dem Governor,Democrat,Josh Shapiro,91
Greene,Franklin Township North Voting Precinct,Rep Governor,Republican,Stacy Garrity,131
Greene,Franklin Township North Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,83
Greene,Franklin Township North Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,74
Greene,Franklin Township North Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,62
Greene,Franklin Township North Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,84
Greene,Franklin Township North Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,136
Greene,Franklin Township North Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,76
Greene,Franklin Township North Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,74
Greene,Franklin Township North Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,75
Greene,Franklin Township North Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,76
Greene,Franklin Township North Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,44
Greene,Franklin Township North Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,113
Greene,Franklin Township North Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,77
Greene,Franklin Township North Voting Precinct,Dem Member Of County Democratic Committee Franklin North (Vote for 2),Democrat,Jason K. Hursey,82
Greene,Franklin Township North Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,126
Greene,Franklin Township South Voting Precinct,Dem Governor,Democrat,Josh Shapiro,51
Greene,Franklin Township South Voting Precinct,Rep Governor,Republican,Stacy Garrity,68
Greene,Franklin Township South Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,49
Greene,Franklin Township South Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,23
Greene,Franklin Township South Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,44
Greene,Franklin Township South Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,48
Greene,Franklin Township South Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,72
Greene,Franklin Township South Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,45
Greene,Franklin Township South Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,31
Greene,Franklin Township South Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,49
Greene,Franklin Township South Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,44
Greene,Franklin Township South Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,25
Greene,Franklin Township South Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,57
Greene,Franklin Township South Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,46
Greene,Franklin Township South Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,69
Greene,Franklin Township South Voting Precinct,Rep Member Of Republican County Committee Franklin South (Vote for 2),Republican,Keith Mcclure,65
Greene,Franklin Township South Voting Precinct,Rep Member Of Republican County Committee Franklin South (Vote for 2),Republican,Carol S. Stewart,56
Greene,Wayne Township East Voting Precinct,Dem Governor,Democrat,Josh Shapiro,29
Greene,Wayne Township East Voting Precinct,Rep Governor,Republican,Stacy Garrity,65
Greene,Wayne Township East Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,28
Greene,Wayne Township East Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,31
Greene,Wayne Township East Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,30
Greene,Wayne Township East Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,29
Greene,Wayne Township East Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,57
Greene,Wayne Township East Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,26
Greene,Wayne Township East Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,41
Greene,Wayne Township East Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,25
Greene,Wayne Township East Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,28
Greene,Wayne Township East Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,26
Greene,Wayne Township East Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,42
Greene,Wayne Township East Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,33
Greene,Wayne Township East Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,56
Greene,Wayne Township East Voting Precinct,Rep Member Of Republican County Committee Wayne East (Vote for 2),Republican,Renee Jones,66
Greene,Wayne Township West Voting Precinct,Dem Governor,Democrat,Josh Shapiro,20
Greene,Wayne Township West Voting Precinct,Rep Governor,Republican,Stacy Garrity,33
Greene,Wayne Township West Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,18
Greene,Wayne Township West Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,15
Greene,Wayne Township West Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,18
Greene,Wayne Township West Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,19
Greene,Wayne Township West Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,35
Greene,Wayne Township West Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,19
Greene,Wayne Township West Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,23
Greene,Wayne Township West Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,18
Greene,Wayne Township West Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,19
Greene,Wayne Township West Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,16
Greene,Wayne Township West Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,25
Greene,Wayne Township West Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,20
Greene,Wayne Township West Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,33
Greene,Wayne Township West Voting Precinct,Rep Member Of Republican County Committee Wayne West (Vote for 2),Republican,Jessie M. Leidecker,35
Greene,Wayne Township West Voting Precinct,Rep Member Of Republican County Committee Wayne West (Vote for 2),Republican,Shane Cole,34
Greene,Cumberland Township #1 Voting Precinct,Dem Governor,Democrat,Josh Shapiro,163
Greene,Cumberland Township #1 Voting Precinct,Rep Governor,Republican,Stacy Garrity,278
Greene,Cumberland Township #1 Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,155
Greene,Cumberland Township #1 Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,163
Greene,Cumberland Township #1 Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,118
Greene,Cumberland Township #1 Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,154
Greene,Cumberland Township #1 Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,290
Greene,Cumberland Township #1 Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,139
Greene,Cumberland Township #1 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,219
Greene,Cumberland Township #1 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,100
Greene,Cumberland Township #1 Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,139
Greene,Cumberland Township #1 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,109
Greene,Cumberland Township #1 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,213
Greene,Cumberland Township #1 Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,167
Greene,Cumberland Township #1 Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,259
Greene,Cumberland Township #1 Voting Precinct,Rep Member Of Republican County Committee Cumberland 1 (Vote for 2),Republican,Crystal D. Walters,224
Greene,Cumberland Township #1 Voting Precinct,Rep Member Of Republican County Committee Cumberland 1 (Vote for 2),Republican,Nicole Vandevender,131
Greene,Cumberland Township #2 Voting Precinct,Dem Governor,Democrat,Josh Shapiro,85
Greene,Cumberland Township #2 Voting Precinct,Rep Governor,Republican,Stacy Garrity,88
Greene,Cumberland Township #2 Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,85
Greene,Cumberland Township #2 Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,41
Greene,Cumberland Township #2 Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,43
Greene,Cumberland Township #2 Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,81
Greene,Cumberland Township #2 Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,88
Greene,Cumberland Township #2 Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,80
Greene,Cumberland Township #2 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,68
Greene,Cumberland Township #2 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,29
Greene,Cumberland Township #2 Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,79
Greene,Cumberland Township #2 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,36
Greene,Cumberland Township #2 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,62
Greene,Cumberland Township #2 Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,89
Greene,Cumberland Township #2 Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,81
Greene,Cumberland Township #4 Voting Precinct,Dem Governor,Democrat,Josh Shapiro,180
Greene,Cumberland Township #4 Voting Precinct,Rep Governor,Republican,Stacy Garrity,228
Greene,Cumberland Township #4 Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,172
Greene,Cumberland Township #4 Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,116
Greene,Cumberland Township #4 Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,106
Greene,Cumberland Township #4 Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,165
Greene,Cumberland Township #4 Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,236
Greene,Cumberland Township #4 Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,160
Greene,Cumberland Township #4 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,171
Greene,Cumberland Township #4 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,94
Greene,Cumberland Township #4 Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,154
Greene,Cumberland Township #4 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,102
Greene,Cumberland Township #4 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,168
Greene,Cumberland Township #4 Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,179
Greene,Cumberland Township #4 Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,223
Greene,Cumberland Township #4 Voting Precinct,Rep Member Of Republican County Committee Cumberland 4 (Vote for 2),Republican,Jeff Hathaway,245
Greene,Dunkard Township #1 Voting Precinct,Dem Governor,Democrat,Josh Shapiro,66
Greene,Dunkard Township #1 Voting Precinct,Rep Governor,Republican,Stacy Garrity,56
Greene,Dunkard Township #1 Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,66
Greene,Dunkard Township #1 Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,30
Greene,Dunkard Township #1 Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,26
Greene,Dunkard Township #1 Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,61
