Precinct,"Registered
Voters",Voters Cast,,% Turnout,,,,,,,,,,,,,,,,,,,,,,,
CARBON COUNTY - Total,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Township Supervisor (6 Year Term) Mahoning Township (Vote for  2)   **** - Insufficient Turnout to Protect Voter Privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Times Cast,Registered Voters,,,,,,,,Precinct,,,,CAROL ETHERIDGE (DEM),,,,MATTHEW WENTZ (REP),,,,,,,,,
CARBON COUNTY,,,,,,,,,,CARBON COUNTY,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,Carbon County,,,,,,,,,,,,,,,,,
Mahoning Township - Mahoning,813,"1,755",,,,,,,,Mahoning Township - Mahoning,,,,364,,29.89%,,454,,,37.27%,,,,,,
Mahoning Township - New Mahoning,325,671,,,,,,,,Mahoning Township - New Mahoning,,,,99,,19.37%,,225,,,44.03%,,,,,,
Mahoning Township - Packerton/Jamestown,195,568,,,,,,,,Mahoning Township - Packerton/Jamestown,,,,94,,34.31%,,100,,,36.50%,,,,,,
Carbon County - Total,"1,333","2,994",,,,,,,,Carbon County - Total,,,,557,,27.81%,,779,,,38.89%,,,,,,
Cumulative,,,,,,,,,,Cumulative,,,,,,,,,,,,,,,,,
Cumulative,0,0,,,,,,,,Cumulative,,,,0,,,,0,,,,,,,,,
Cumulative - Total,0,0,,,,,,,,Cumulative - Total,,,,0,,,,0,,,,,,,,,
CARBON COUNTY - Total,"1,333","2,994",,,,,,,,CARBON COUNTY - Total,,,,557,,27.81%,,779,,,38.89%,,,,,,
Precinct,MARK SCHWALM (REP),,Total Votes,,"RON JEREMY
Qualified Write In",,,,"CHRIS BOTEK
Qualified Write In",,,"GARY P KUEHNER
Qualified Write In",,,"STEVE CHUCKRA
Qualified Write In",,,,,"ROBERT SLAW
Qualified Write In",,,,,,,
CARBON COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahoning Township - Mahoning,391,32.10%,"1,218",,1,,,0.08%,2,,0.16%,1,,0.08%,1,,,0.08%,,3,,,0.25%,,,,
Mahoning Township - New Mahoning,187,36.59%,511,,0,,,0.00%,0,,0.00%,0,,0.00%,0,,,0.00%,,0,,,0.00%,,,,
Mahoning Township - Packerton/Jamestown,77,28.10%,274,,0,,,0.00%,0,,0.00%,0,,0.00%,0,,,0.00%,,2,,,0.73%,,,,
Carbon County - Total,655,32.70%,"2,003",,1,,,0.05%,2,,0.10%,1,,0.05%,1,,,0.05%,,5,,,0.25%,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,0,,0,,0,,,,0,,,0,,,0,,,,,0,,,,,,,
Cumulative - Total,0,,0,,0,,,,0,,,0,,,0,,,,,0,,,,,,,
CARBON COUNTY - Total,655,32.70%,"2,003",,1,,,0.05%,2,,0.10%,1,,0.05%,1,,,0.05%,,5,,,0.25%,,,,
Precinct,"PATRICK J MRISS
Qualified Write In",,"JAMES WHITEHEAD
Qualified Write In",,,,Unresolved Write-In,,,,,,,,,,,,,,,,,,,,
CARBON COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahoning Township - Mahoning,0,0.00%,1,,0.08%,,0,,,,,,,,,,,,,,,,,,,,
Mahoning Township - New Mahoning,0,0.00%,0,,0.00%,,0,,,,,,,,,,,,,,,,,,,,
Mahoning Township - Packerton/Jamestown,1,0.36%,0,,0.00%,,0,,,,,,,,,,,,,,,,,,,,
Carbon County - Total,1,0.05%,1,,0.05%,,0,,,,,,,,,,,,,,,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,
Cumulative - Total,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,
CARBON COUNTY - Total,1,0.05%,1,,0.05%,,0,,,,,,,,,,,,,,,,,,,,
Tax Collector (4 Year Term) Mahoning Township (Vote for  1)   **** - Insufficient Turnout to Protect Voter Privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Times Cast,Registered Voters,,,,,,,,Precinct,,,,PAULINE F HOMM (REP),,,,Total Votes,,,"KATHY HENDERSON
Qualified Write In",,,,,,
CARBON COUNTY,,,,,,,,,,CARBON COUNTY,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,Carbon County,,,,,,,,,,,,,,,,,
Mahoning Township - Mahoning,813,"1,755",,,,,,,,Mahoning Township - Mahoning,,,,679,,99.85%,,680,,,1,,,0.15%,,,
Mahoning Township - New Mahoning,325,671,,,,,,,,Mahoning Township - New Mahoning,,,,286,,99.65%,,287,,,0,,,0.00%,,,
Mahoning Township - Packerton/Jamestown,195,568,,,,,,,,Mahoning Township - Packerton/Jamestown,,,,155,,100.00%,,155,,,0,,,0.00%,,,
Carbon County - Total,"1,333","2,994",,,,,,,,Carbon County - Total,,,,"1,120",,99.82%,,"1,122",,,1,,,0.09%,,,
Cumulative,,,,,,,,,,Cumulative,,,,,,,,,,,,,,,,,
Cumulative,0,0,,,,,,,,Cumulative,,,,0,,,,0,,,0,,,,,,
Cumulative - Total,0,0,,,,,,,,Cumulative - Total,,,,0,,,,0,,,0,,,,,,
CARBON COUNTY - Total,"1,333","2,994",,,,,,,,CARBON COUNTY - Total,,,,"1,120",,99.82%,,"1,122",,,1,,,0.09%,,,
Precinct,"KATE MILLER
Qualified Write In",,Unresolved Write-In,,,,,,,,,,,,,,,,,,,,,,,,
CARBON COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahoning Township - Mahoning,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
Mahoning Township - New Mahoning,1,0.35%,0,,,,,,,,,,,,,,,,,,,,,,,,
Mahoning Township - Packerton/Jamestown,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
Carbon County - Total,1,0.09%,0,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative - Total,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
CARBON COUNTY - Total,1,0.09%,0,,,,,,,,,,,,,,,,,,,,,,,,
Auditor (6 Year Term) Mahoning Township (Vote for  1)   **** - Insufficient Turnout to Protect Voter Privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Times Cast,Registered Voters,,,,,,,,Precinct,,,,Total Votes,,"KIM M SIMKO
Qualified Write In",,,,,"CHRISTOPHER BOTEK
Qualified Write In",,,,,,
CARBON COUNTY,,,,,,,,,,CARBON COUNTY,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,Carbon County,,,,,,,,,,,,,,,,,
Mahoning Township - Mahoning,813,"1,755",,,,,,,,Mahoning Township - Mahoning,,,,32,,1,,,3.13%,,21,,,65.63%,,,
Mahoning Township - New Mahoning,325,671,,,,,,,,Mahoning Township - New Mahoning,,,,2,,0,,,0.00%,,0,,,0.00%,,,
Mahoning Township - Packerton/Jamestown,195,568,,,,,,,,Mahoning Township - Packerton/Jamestown,,,,13,,0,,,0.00%,,8,,,61.54%,,,
Carbon County - Total,"1,333","2,994",,,,,,,,Carbon County - Total,,,,47,,1,,,2.13%,,29,,,61.70%,,,
Cumulative,,,,,,,,,,Cumulative,,,,,,,,,,,,,,,,,
Cumulative,0,0,,,,,,,,Cumulative,,,,0,,0,,,,,0,,,,,,
Cumulative - Total,0,0,,,,,,,,Cumulative - Total,,,,0,,0,,,,,0,,,,,,
CARBON COUNTY - Total,"1,333","2,994",,,,,,,,CARBON COUNTY - Total,,,,47,,1,,,2.13%,,29,,,61.70%,,,
Precinct,"RENEE GARRETT
Qualified Write In",,"JASON HOLDEN
Qualified Write In",,,,"SUZANNE ROUSSEL
Qualified Write In",,,"MARILYN K RUCH
Qualified Write In",,,"DANIEL P RUFF
Qualified Write In",,,,"BRUCE STEIGERWALT
Qualified Write In",,,,,"EUGENE HARTLEY
Qualified Write In",,,,,
CARBON COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahoning Township - Mahoning,1,3.13%,1,,3.13%,,2,,6.25%,3,,9.38%,1,,3.13%,,1,,,3.13%,,1,,,3.13%,,
Mahoning Township - New Mahoning,0,0.00%,0,,0.00%,,0,,0.00%,0,,0.00%,0,,0.00%,,0,,,0.00%,,0,,,0.00%,,
Mahoning Township - Packerton/Jamestown,0,0.00%,0,,0.00%,,0,,0.00%,0,,0.00%,0,,0.00%,,0,,,0.00%,,0,,,0.00%,,
Carbon County - Total,1,2.13%,1,,2.13%,,2,,4.26%,3,,6.38%,1,,2.13%,,1,,,2.13%,,1,,,2.13%,,
Cumulative,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,0,,0,,,,0,,,0,,,0,,,,0,,,,,0,,,,,
Cumulative - Total,0,,0,,,,0,,,0,,,0,,,,0,,,,,0,,,,,
CARBON COUNTY - Total,1,2.13%,1,,2.13%,,2,,4.26%,3,,6.38%,1,,2.13%,,1,,,2.13%,,1,,,2.13%,,
Precinct,"ERIC WASMUNSKI
Qualified Write In",,"JESS BARGILIONE
Qualified Write In",,,,"GEORGE STAWNYCZYJ
Qualified Write In",,,"DAVID ALLEN WALLACE
Qualified Write In",,,"JOHN HEIL
Qualified Write In",,,,"DYLAN PAUL WALLACE
Qualified Write In",,,,,"LESLIE KNOPE
Qualified Write In",,,,,
CARBON COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahoning Township - Mahoning,0,0.00%,0,,0.00%,,0,,0.00%,0,,0.00%,0,,0.00%,,0,,,0.00%,,0,,,0.00%,,
Mahoning Township - New Mahoning,1,50.00%,1,,50.00%,,0,,0.00%,0,,0.00%,0,,0.00%,,0,,,0.00%,,0,,,0.00%,,
Mahoning Township - Packerton/Jamestown,0,0.00%,0,,0.00%,,1,,7.69%,1,,7.69%,1,,7.69%,,1,,,7.69%,,1,,,7.69%,,
Carbon County - Total,1,2.13%,1,,2.13%,,1,,2.13%,1,,2.13%,1,,2.13%,,1,,,2.13%,,1,,,2.13%,,
Cumulative,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,0,,0,,,,0,,,0,,,0,,,,0,,,,,0,,,,,
Cumulative - Total,0,,0,,,,0,,,0,,,0,,,,0,,,,,0,,,,,
CARBON COUNTY - Total,1,2.13%,1,,2.13%,,1,,2.13%,1,,2.13%,1,,2.13%,,1,,,2.13%,,1,,,2.13%,,
Precinct,Unresolved Write-In,,,,,,,,,,,,,,,,,,,,,,,,,,
CARBON COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahoning Township - Mahoning,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahoning Township - New Mahoning,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahoning Township - Packerton/Jamestown,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon County - Total,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative - Total,0,,,,,,,,,,,,,,,,,,,,,,,,,,
CARBON COUNTY - Total,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Auditor (2 Year Term) Mahoning Township (Vote for  1)   **** - Insufficient Turnout to Protect Voter Privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Times Cast,Registered Voters,,,,,,,,Precinct,,,,Total Votes,,"CHRIS BOTAK
Qualified Write In",,,,,"RENEE GARRETT
Qualified Write In",,,,,,
CARBON COUNTY,,,,,,,,,,CARBON COUNTY,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,Carbon County,,,,,,,,,,,,,,,,,
Mahoning Township - Mahoning,813,"1,755",,,,,,,,Mahoning Township - Mahoning,,,,26,,2,,,7.69%,,1,,,3.85%,,,
Mahoning Township - New Mahoning,325,671,,,,,,,,Mahoning Township - New Mahoning,,,,1,,0,,,0.00%,,0,,,0.00%,,,
Mahoning Township - Packerton/Jamestown,195,568,,,,,,,,Mahoning Township - Packerton/Jamestown,,,,11,,0,,,0.00%,,0,,,0.00%,,,
Carbon County - Total,"1,333","2,994",,,,,,,,Carbon County - Total,,,,38,,2,,,5.26%,,1,,,2.63%,,,
Cumulative,,,,,,,,,,Cumulative,,,,,,,,,,,,,,,,,
Cumulative,0,0,,,,,,,,Cumulative,,,,0,,0,,,,,0,,,,,,
Cumulative - Total,0,0,,,,,,,,Cumulative - Total,,,,0,,0,,,,,0,,,,,,
CARBON COUNTY - Total,"1,333","2,994",,,,,,,,CARBON COUNTY - Total,,,,38,,2,,,5.26%,,1,,,2.63%,,,
Precinct,"KATHYRN MCEVILLY
Qualified Write In",,"MARILYN K RUCH
Qualified Write In",,,,"DANIEL P RUFF
Qualified Write In",,,"SUZANNE HUNSICKER
Qualified Write In",,,"ERIC WASMUNSKI
Qualified Write In",,,,"DAVID ALLEN WALLACE
Qualified Write In",,,,,"JOHN HEIL
Qualified Write In",,,,,
CARBON COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahoning Township - Mahoning,19,73.08%,2,,7.69%,,1,,3.85%,1,,3.85%,0,,0.00%,,0,,,0.00%,,0,,,0.00%,,
Mahoning Township - New Mahoning,0,0.00%,0,,0.00%,,0,,0.00%,0,,0.00%,1,,100.00%,,0,,,0.00%,,0,,,0.00%,,
Mahoning Township - Packerton/Jamestown,7,63.64%,0,,0.00%,,0,,0.00%,0,,0.00%,0,,0.00%,,1,,,9.09%,,1,,,9.09%,,
Carbon County - Total,26,68.42%,2,,5.26%,,1,,2.63%,1,,2.63%,1,,2.63%,,1,,,2.63%,,1,,,2.63%,,
Cumulative,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,0,,0,,,,0,,,0,,,0,,,,0,,,,,0,,,,,
Cumulative - Total,0,,0,,,,0,,,0,,,0,,,,0,,,,,0,,,,,
CARBON COUNTY - Total,26,68.42%,2,,5.26%,,1,,2.63%,1,,2.63%,1,,2.63%,,1,,,2.63%,,1,,,2.63%,,
Precinct,"LESLIE KNOPE
Qualified Write In",,"DARIN DOTTER
Qualified Write In",,,,Unresolved Write-In,,,,,,,,,,,,,,,,,,,,
CARBON COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahoning Township - Mahoning,0,0.00%,0,,0.00%,,0,,,,,,,,,,,,,,,,,,,,
Mahoning Township - New Mahoning,0,0.00%,0,,0.00%,,0,,,,,,,,,,,,,,,,,,,,
Mahoning Township - Packerton/Jamestown,1,9.09%,1,,9.09%,,0,,,,,,,,,,,,,,,,,,,,
Carbon County - Total,1,2.63%,1,,2.63%,,0,,,,,,,,,,,,,,,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,
Cumulative - Total,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,
CARBON COUNTY - Total,1,2.63%,1,,2.63%,,0,,,,,,,,,,,,,,,,,,,,
Judge of Elections (4 Year Term) Mahoning Township - Mahoning (Vote for  1)   **** - Insufficient Turnout to Protect Voter Privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Times Cast,Registered Voters,,,,,,,,Precinct,,,,Total Votes,,"JACKSON J ZACHARIAS
Qualified Write In",,,,,"PATRICK GARRETT
Qualified Write In",,,,,,
CARBON COUNTY,,,,,,,,,,CARBON COUNTY,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,Carbon County,,,,,,,,,,,,,,,,,
Mahoning Township - Mahoning,813,"1,755",,,,,,,,Mahoning Township - Mahoning,,,,8,,1,,,12.50%,,2,,,25.00%,,,
Carbon County - Total,813,"1,755",,,,,,,,Carbon County - Total,,,,8,,1,,,12.50%,,2,,,25.00%,,,
Cumulative,,,,,,,,,,Cumulative,,,,,,,,,,,,,,,,,
Cumulative,0,0,,,,,,,,Cumulative,,,,0,,0,,,,,0,,,,,,
Cumulative - Total,0,0,,,,,,,,Cumulative - Total,,,,0,,0,,,,,0,,,,,,
CARBON COUNTY - Total,813,"1,755",,,,,,,,CARBON COUNTY - Total,,,,8,,1,,,12.50%,,2,,,25.00%,,,
Precinct,"JAMES WHITEHEAD
Qualified Write In",,"WILLIAM H GROSS SR
Qualified Write In",,,,"DANIEL P RUFF
Qualified Write In",,,"EUGENE HARTLEY
Qualified Write In",,,"TINA SMITH
Qualified Write In",,,,Unresolved Write-In,,,,,,,,,,
CARBON COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahoning Township - Mahoning,1,12.50%,1,,12.50%,,1,,12.50%,1,,12.50%,1,,12.50%,,0,,,,,,,,,,
Carbon County - Total,1,12.50%,1,,12.50%,,1,,12.50%,1,,12.50%,1,,12.50%,,0,,,,,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,0,,0,,,,0,,,0,,,0,,,,0,,,,,,,,,,
Cumulative - Total,0,,0,,,,0,,,0,,,0,,,,0,,,,,,,,,,
CARBON COUNTY - Total,1,12.50%,1,,12.50%,,1,,12.50%,1,,12.50%,1,,12.50%,,0,,,,,,,,,,
Inspector of Elections (4 Year Term) Mahoning Township - Mahoning (Vote for  1)   **** - Insufficient Turnout to Protect Voter Privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Times Cast,Registered Voters,,,,,,,,Precinct,,,,ALLISON EVERETT (REP),,,,Total Votes,,,"MICHAEL GEORGE
Qualified Write In",,,,,,
CARBON COUNTY,,,,,,,,,,CARBON COUNTY,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,Carbon County,,,,,,,,,,,,,,,,,
Mahoning Township - Mahoning,813,"1,755",,,,,,,,Mahoning Township - Mahoning,,,,573,,99.65%,,575,,,1,,,0.17%,,,
Carbon County - Total,813,"1,755",,,,,,,,Carbon County - Total,,,,573,,99.65%,,575,,,1,,,0.17%,,,
Cumulative,,,,,,,,,,Cumulative,,,,,,,,,,,,,,,,,
Cumulative,0,0,,,,,,,,Cumulative,,,,0,,,,0,,,0,,,,,,
Cumulative - Total,0,0,,,,,,,,Cumulative - Total,,,,0,,,,0,,,0,,,,,,
CARBON COUNTY - Total,813,"1,755",,,,,,,,CARBON COUNTY - Total,,,,573,,99.65%,,575,,,1,,,0.17%,,,
Precinct,"BRYANNA BERGER
Qualified Write In",,Unresolved Write-In,,,,,,,,,,,,,,,,,,,,,,,,
CARBON COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahoning Township - Mahoning,1,0.17%,0,,,,,,,,,,,,,,,,,,,,,,,,
Carbon County - Total,1,0.17%,0,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative - Total,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
CARBON COUNTY - Total,1,0.17%,0,,,,,,,,,,,,,,,,,,,,,,,,
Judge of Elections (4 Year Term) Mahoning Township - New Mahoning (Vote for  1)   **** - Insufficient Turnout to Protect Voter Privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Times Cast,Registered Voters,,,,,,,,Precinct,,,,JOYCE WALTERS (REP),,,,Total Votes,,,"JOE CAMBELA
Qualified Write In",,,,,,
CARBON COUNTY,,,,,,,,,,CARBON COUNTY,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,Carbon County,,,,,,,,,,,,,,,,,
Mahoning Township - New Mahoning,325,671,,,,,,,,Mahoning Township - New Mahoning,,,,247,,98.80%,,250,,,1,,,0.40%,,,
Carbon County - Total,325,671,,,,,,,,Carbon County - Total,,,,247,,98.80%,,250,,,1,,,0.40%,,,
Cumulative,,,,,,,,,,Cumulative,,,,,,,,,,,,,,,,,
Cumulative,0,0,,,,,,,,Cumulative,,,,0,,,,0,,,0,,,,,,
Cumulative - Total,0,0,,,,,,,,Cumulative - Total,,,,0,,,,0,,,0,,,,,,
CARBON COUNTY - Total,325,671,,,,,,,,CARBON COUNTY - Total,,,,247,,98.80%,,250,,,1,,,0.40%,,,
Precinct,"ALLISON EVERETT
Qualified Write In",,"BETH DODSON
Qualified Write In",,,,Unresolved Write-In,,,,,,,,,,,,,,,,,,,,
CARBON COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahoning Township - New Mahoning,1,0.40%,1,,0.40%,,0,,,,,,,,,,,,,,,,,,,,
Carbon County - Total,1,0.40%,1,,0.40%,,0,,,,,,,,,,,,,,,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,
Cumulative - Total,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,
CARBON COUNTY - Total,1,0.40%,1,,0.40%,,0,,,,,,,,,,,,,,,,,,,,
Inspector of Elections (4 Year Term) Mahoning Township - New Mahoning (Vote for  1)   **** - Insufficient Turnout to Protect Voter Privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Times Cast,Registered Voters,,,,,,,,Precinct,,,,GILBERT WALTERS (REP),,,,Total Votes,,,"ALLISON EVERETT
Qualified Write In",,,,,,
CARBON COUNTY,,,,,,,,,,CARBON COUNTY,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,Carbon County,,,,,,,,,,,,,,,,,
Mahoning Township - New Mahoning,325,671,,,,,,,,Mahoning Township - New Mahoning,,,,244,,97.60%,,250,,,3,,,1.20%,,,
Carbon County - Total,325,671,,,,,,,,Carbon County - Total,,,,244,,97.60%,,250,,,3,,,1.20%,,,
Cumulative,,,,,,,,,,Cumulative,,,,,,,,,,,,,,,,,
Cumulative,0,0,,,,,,,,Cumulative,,,,0,,,,0,,,0,,,,,,
Cumulative - Total,0,0,,,,,,,,Cumulative - Total,,,,0,,,,0,,,0,,,,,,
CARBON COUNTY - Total,325,671,,,,,,,,CARBON COUNTY - Total,,,,244,,97.60%,,250,,,3,,,1.20%,,,
Precinct,"JOE CAMBELA
Qualified Write In",,"JOHN BARGILIONE
Qualified Write In",,,,"JESSICA BARGILIONE
Qualified Write In",,,Unresolved Write-In,,,,,,,,,,,,,,,,,
CARBON COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahoning Township - New Mahoning,1,0.40%,1,,0.40%,,1,,0.40%,0,,,,,,,,,,,,,,,,,
Carbon County - Total,1,0.40%,1,,0.40%,,1,,0.40%,0,,,,,,,,,,,,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,,
Cumulative - Total,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,,
CARBON COUNTY - Total,1,0.40%,1,,0.40%,,1,,0.40%,0,,,,,,,,,,,,,,,,,
Judge of Elections (4 Year Term) Mahoning Township - Packerton/Jamestown (Vote for  1)   **** - Insufficient Turnout to Protect Voter Privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Times Cast,Registered Voters,,,,,,,,Precinct,,,,JANE L ARNOLD (DEM),,,,Total Votes,,,"ALLISON EVERETT
Qualified Write In",,,,,,
CARBON COUNTY,,,,,,,,,,CARBON COUNTY,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,Carbon County,,,,,,,,,,,,,,,,,
Mahoning Township - Packerton/Jamestown,195,568,,,,,,,,Mahoning Township - Packerton/Jamestown,,,,116,,97.48%,,119,,,1,,,0.84%,,,
Carbon County - Total,195,568,,,,,,,,Carbon County - Total,,,,116,,97.48%,,119,,,1,,,0.84%,,,
Cumulative,,,,,,,,,,Cumulative,,,,,,,,,,,,,,,,,
Cumulative,0,0,,,,,,,,Cumulative,,,,0,,,,0,,,0,,,,,,
Cumulative - Total,0,0,,,,,,,,Cumulative - Total,,,,0,,,,0,,,0,,,,,,
CARBON COUNTY - Total,195,568,,,,,,,,CARBON COUNTY - Total,,,,116,,97.48%,,119,,,1,,,0.84%,,,
Precinct,"JOHN AHNER
Qualified Write In",,"DARIN DOTTER
Qualified Write In",,,,Unresolved Write-In,,,,,,,,,,,,,,,,,,,,
CARBON COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahoning Township - Packerton/Jamestown,1,0.84%,1,,0.84%,,0,,,,,,,,,,,,,,,,,,,,
Carbon County - Total,1,0.84%,1,,0.84%,,0,,,,,,,,,,,,,,,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,
Cumulative - Total,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,
CARBON COUNTY - Total,1,0.84%,1,,0.84%,,0,,,,,,,,,,,,,,,,,,,,
Inspector of Elections (4 Year Term) Mahoning Township - Packerton/Jamestown (Vote for  1)   **** - Insufficient Turnout to Protect Voter Privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Times Cast,Registered Voters,,,,,,,,Precinct,,,,Total Votes,,"DAVID ALLEN WALLACE
Qualified Write In",,,,,"ALLISON EVERETT
Qualified Write In",,,,,,
CARBON COUNTY,,,,,,,,,,CARBON COUNTY,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,Carbon County,,,,,,,,,,,,,,,,,
Mahoning Township - Packerton/Jamestown,195,568,,,,,,,,Mahoning Township - Packerton/Jamestown,,,,7,,1,,,14.29%,,3,,,42.86%,,,
Carbon County - Total,195,568,,,,,,,,Carbon County - Total,,,,7,,1,,,14.29%,,3,,,42.86%,,,
Cumulative,,,,,,,,,,Cumulative,,,,,,,,,,,,,,,,,
Cumulative,0,0,,,,,,,,Cumulative,,,,0,,0,,,,,0,,,,,,
Cumulative - Total,0,0,,,,,,,,Cumulative - Total,,,,0,,0,,,,,0,,,,,,
CARBON COUNTY - Total,195,568,,,,,,,,CARBON COUNTY - Total,,,,7,,1,,,14.29%,,3,,,42.86%,,,
Precinct,"RICK WALLACE
Qualified Write In",,"LESLIE KNOPE
Qualified Write In",,,,"DARIN DOTTER
Qualified Write In",,,Unresolved Write-In,,,,,,,,,,,,,,,,,
CARBON COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahoning Township - Packerton/Jamestown,1,14.29%,1,,14.29%,,1,,14.29%,0,,,,,,,,,,,,,,,,,
Carbon County - Total,1,14.29%,1,,14.29%,,1,,14.29%,0,,,,,,,,,,,,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,,
Cumulative - Total,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,,
CARBON COUNTY - Total,1,14.29%,1,,14.29%,,1,,14.29%,0,,,,,,,,,,,,,,,,,
