Unofficial Election Results
LEHIGH
Contest Name,Candidate Name,Party,Mail Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast,Under Votes,Vote For
"JUDGE OF ELECTION - SWHI6","DEM Katia Reeb","DEM","283","515","5","803","1","1","1055","0","1"
"JUDGE OF ELECTION - SWHI8","DEM Suzanne Glatz","DEM","402","430","8","840","1","1","1510","0","1"
"JUDGE OF ELECTION - SWHI8","REP Helen Papathanasiou","REP","141","449","1","591","1","1","1510","0","1"
"JUDGE OF ELECTION - UMAC1","REP Althea Hahn","REP","165","388","1","554","1","1","1029","0","1"
"JUDGE OF ELECTION - UMAC2","DEM Deborah Martin","DEM","426","549","6","981","1","1","1448","0","1"
"JUDGE OF ELECTION - UMAC3","DEM Michael G Vassallo","DEM","264","407","2","673","1","1","1014","0","1"
"JUDGE OF ELECTION - UMAC5","DEM Vince Lynott","DEM","618","611","7","1236","1","1","1747","0","1"
"JUDGE OF ELECTION - UMAC8","REP Dave Hendel","REP","81","224","4","309","1","1","643","0","1"
"JUDGE OF ELECTION - UMILFE","REP Timothy Anger","REP","307","702","1","1010","1","1","1758","0","1"
"JUDGE OF ELECTION - USAU1","DEM Shannon Rager","DEM","351","368","1","720","1","1","1307","0","1"
"JUDGE OF ELECTION - USAU1","REP Rochelle Steiner Friel","REP","66","481","1","548","1","1","1307","0","1"
"JUDGE OF ELECTION - USAU5","DEM Virginia M Tadrzynski","DEM","220","303","2","525","1","1","802","0","1"
"JUDGE OF ELECTION - USAU6","DEM Anne Schubert","DEM","212","314","4","530","1","1","784","0","1"
"JUDGE OF ELECTION - WASHS","REP Lauren Ganser","REP","158","716","2","876","1","1","1256","0","1"
"JUDGE OF ELECTION - WEIS","DEM Emmanuelle Van Vleet","DEM","383","661","2","1046","1","1","1832","0","1"
"JUDGE OF ELECTION - WHI7","REP Kristie Tertel","REP","216","391","0","607","1","1","1051","0","1"
"JUDGE OF ELECTION - WHI8","DEM Stephanie Falcone","DEM","171","260","2","433","1","1","789","0","1"
"JUDGE OF ELECTION - WHI8","REP Elizabeth Fox","REP","65","266","0","331","1","1","789","0","1"
"JUDGE OF ELECTION - WHI11","REP Phyllis Ann Roman Beitler","REP","88","309","3","400","1","1","652","0","1"
"INSPECTOR OF ELECTION - A3","DEM Sherrawn M Shannon","DEM","72","197","2","271","1","1","344","0","1"
"INSPECTOR OF ELECTION - A13-2","DEM Rachel B Osborn","DEM","44","118","1","163","1","1","200","0","1"
"INSPECTOR OF ELECTION - A15-1","DEM Deborah Gross","DEM","71","176","0","247","1","1","335","0","1"
"INSPECTOR OF ELECTION - A17-3","DEM Barbara A Cathy","DEM","157","213","6","376","1","1","515","0","1"
"INSPECTOR OF ELECTION - A17-4","DEM Sharon L Dunn","DEM","382","472","3","857","2","2","1264","0","1"
"INSPECTOR OF ELECTION - A17-4","REP Sharon Eig","REP","96","272","3","371","2","2","1264","0","1"
"INSPECTOR OF ELECTION - A19-4","DEM Deborah Giltz","DEM","55","121","1","177","1","1","230","0","1"
"INSPECTOR OF ELECTION - B12-2","DEM Sheena Guthrie","DEM","89","273","2","364","1","1","440","0","1"
"INSPECTOR OF ELECTION - B13-5","DEM Joyce A Dawley","DEM","125","249","2","376","1","1","483","0","1"
"INSPECTOR OF ELECTION - COOP","DEM Paul A McAndrew","DEM","169","499","4","672","1","1","889","0","1"
"INSPECTOR OF ELECTION - COP2","REP Joan Witko","REP","67","288","0","355","1","1","527","0","1"
"INSPECTOR OF ELECTION - EMM2","DEM Michele Eyer","DEM","121","356","1","478","1","1","616","0","1"
"INSPECTOR OF ELECTION - EMM3","DEM Joe Cassano","DEM","205","268","6","479","1","1","851","0","1"
"INSPECTOR OF ELECTION - EMM3","REP Pamela Schiaffo","REP","76","261","1","338","1","1","851","0","1"
"INSPECTOR OF ELECTION - EMM4","DEM Joanne C Andrews","DEM","155","332","4","491","1","1","667","0","1"
"INSPECTOR OF ELECTION - FH1","DEM Donnamarie T Capuano","DEM","104","230","0","334","1","1","404","0","1"
"INSPECTOR OF ELECTION - HEI","DEM Jeffrey P Kistler","DEM","157","261","0","418","1","1","978","0","1"
"INSPECTOR OF ELECTION - HEI","REP Vikki L Stoss","REP","63","472","3","538","1","1","978","0","1"
"INSPECTOR OF ELECTION - LMAC2","REP David W Smith","REP","381","976","7","1364","1","1","2105","0","1"
"INSPECTOR OF ELECTION - LMAC3","REP Kathy McKeever","REP","173","459","2","634","1","1","1058","0","1"
"INSPECTOR OF ELECTION - LMAC4","REP Joanne Nosal","REP","177","478","2","657","1","1","952","0","1"
"INSPECTOR OF ELECTION - LMAC6","REP Linda P Leayman","REP","248","706","5","959","1","1","1560","0","1"
"INSPECTOR OF ELECTION - LMILF","REP Jay Fox","REP","242","851","2","1095","1","1","1607","0","1"
"INSPECTOR OF ELECTION - LOW","REP Cynthia VanArtsdalen","REP","87","415","1","503","1","1","776","0","1"
"INSPECTOR OF ELECTION - NWHI1","DEM Dianne Wall Gillikin","DEM","267","383","3","653","1","1","1327","0","1"
"INSPECTOR OF ELECTION - NWHI1","REP Sandra N Sacks","REP","109","535","2","646","1","1","1327","0","1"
"INSPECTOR OF ELECTION - NWHI2","DEM Caryn Dashukewich","DEM","189","269","4","462","1","1","1022","0","1"
"INSPECTOR OF ELECTION - NWHI2","REP Diane R Fries","REP","99","434","1","534","1","1","1022","0","1"
"INSPECTOR OF ELECTION - SAL2","DEM Maria Rodriguez","DEM","185","363","1","549","1","1","776","0","1"
"INSPECTOR OF ELECTION - SWHI1","REP Russ Saylor","REP","115","382","4","501","1","1","988","0","1"
"INSPECTOR OF ELECTION - SWHI3","DEM Daniel Clarke Sautter","DEM","310","499","3","812","1","1","1132","0","1"
"INSPECTOR OF ELECTION - SWHI4","REP Pamela Wikkerink Blank","REP","107","276","3","386","1","1","597","0","1"
"INSPECTOR OF ELECTION - SWHI6","DEM Dina Kennedy","DEM","281","515","5","801","1","1","1055","0","1"
"INSPECTOR OF ELECTION - USAU2","REP Paulette Bartolacci","REP","108","358","3","469","1","1","854","0","1"
"INSPECTOR OF ELECTION - WHI11","REP Robert Falkenstein","REP","93","324","2","419","1","1","652","0","1"
"HANOVER QUESTION 1","Yes","NON","74","150","1","225","1","1","307","0","1"
"HANOVER QUESTION 1","No","NON","5","38","0","43","1","1","307","0","1"
"HANOVER QUESTION 2","Yes","NON","67","152","1","220","1","1","307","0","1"
"HANOVER QUESTION 2","No","NON","12","37","0","49","1","1","307","0","1"
"SOUTH WHITEHALL QUESTION","Yes","NON","1938","3168","23","5129","8","8","7394","0","1"
"SOUTH WHITEHALL QUESTION","No","NON","519","1288","6","1813","8","8","7394","0","1"
"SUPREME COURT - DONOHUE","Yes","NON","21910","36899","364","59173","161","161","95563","0","1"
"SUPREME COURT - DONOHUE","No","NON","5877","26274","118","32269","161","161","95563","0","1"
"SUPREME COURT - DOUGHERTY","Yes","NON","21946","37012","365","59323","161","161","95563","0","1"
"SUPREME COURT - DOUGHERTY","No","NON","5862","26252","116","32230","161","161","95563","0","1"
"SUPREME COURT - WECHT","Yes","NON","21848","36591","359","58798","161","161","95563","0","1"
"SUPREME COURT - WECHT","No","NON","5931","26505","118","32554","161","161","95563","0","1"
"SUPERIOR COURT - DEBOW","Yes","NON","21266","35162","343","56771","161","161","95563","0","1"
"SUPERIOR COURT - DEBOW","No","NON","6001","26810","117","32928","161","161","95563","0","1"
"COMMONWEALTH COURT - WOJCIK","Yes","NON","21252","35386","338","56976","161","161","95563","0","1"
"COMMONWEALTH COURT - WOJCIK","No","NON","5909","26403","123","32435","161","161","95563","0","1"
